DK1;DK2;EE;FI;LT;LV;NO;SE
1828;1255;887;11465;847;676;17580;18223
1835;1258;903;11538;856;686;17624;18177
1895;1313;943;11973;912;724;17711;18329
2056;1395;1051;12949;1112;850;18261;19315
2523;1652;1200;13391;1315;1020;19918;21430
3006;1949;1299;13564;1424;1137;21616;23374
3182;2048;1313;13309;1451;1166;22082;23343
3114;2067;1307;13252;1445;1163;21927;23248
3180;2108;1289;13176;1439;1147;21877;23190
3171;2097;1259;13148;1408;1095;21723;23308
3105;2092;1271;13019;1425;1114;21671;23288
3131;2088;1259;12921;1414;1120;21616;23225
3037;2044;1270;12977;1407;1121;21542;23247
2955;2022;1302;13310;1421;1162;21650;23599
3046;2148;1332;13478;1480;1198;21894;23834
3254;2321;1314;13413;1459;1178;21732;24076
3103;2256;1288;13555;1412;1143;21416;23338
2910;2121;1258;13431;1365;1112;21151;22918
2724;1947;1208;13145;1276;1049;20805;22071
2546;1820;1121;12843;1123;953;20272;21063
2313;1657;1032;12595;990;846;19672;19802
2101;1498;968;12070;914;762;18726;18839
1963;1377;944;11737;886;717;17952;18034
1940;1308;922;11512;857;702;17521;17848
1922;1301;914;11473;852;694;17420;17812
1932;1326;919;11629;853;704;17291;17996
1980;1353;958;12082;909;748;17506;18241
2145;1458;1077;13109;1118;878;18170;18941
2558;1717;1233;13438;1315;1053;19475;20803
3056;2036;1343;13669;1453;1170;21460;22836
3246;2153;1357;13508;1489;1206;22092;23135
3220;2171;1347;13465;1495;1199;21729;22851
3266;2175;1320;13511;1476;1170;21562;23029
3279;2178;1289;13437;1444;1130;21383;23105
3192;2192;1310;13133;1453;1146;21201;22930
3204;2169;1292;13214;1439;1137;21202;22738
3158;2157;1298;13296;1435;1132;21360;22719
3082;2161;1325;13536;1451;1179;21443;23008
3165;2278;1341;13675;1526;1221;21786;23665
3374;2430;1313;13648;1512;1210;21654;23843
3230;2362;1287;13717;1459;1174;21464;23505
3026;2231;1255;13519;1401;1136;21207;23090
2839;2081;1199;13037;1311;1068;20772;22299
2668;1951;1126;13058;1166;972;20342;21350
2497;1784;1049;12802;1045;872;19760;20296
2278;1612;985;12358;964;789;18804;19341
2118;1514;947;12050;929;750;18063;18660
2018;1405;928;11866;919;735;17761;18379
1979;1351;921;11833;909;732;17621;18436
1984;1342;932;12001;915;748;17526;18736
2014;1382;962;12468;972;797;17604;18991
2124;1462;1083;13443;1178;924;18024;19849
2525;1721;1234;13899;1384;1101;19555;21974
3019;2020;1323;14089;1481;1211;21541;23867
3193;2135;1346;13924;1500;1232;22259;24472
3168;2135;1337;13864;1526;1206;22167;24387
3238;2162;1314;13803;1521;1175;21975;24412
3212;2157;1276;13741;1492;1139;21912;24196
3099;2141;1298;13558;1484;1153;21615;23597
3001;2132;1286;13438;1461;1143;21498;23119
2906;2068;1286;13390;1447;1136;21392;22923
2810;2055;1315;13662;1455;1168;21354;23066
2930;2169;1339;13810;1518;1205;21590;23638
3171;2333;1312;13795;1504;1192;21594;23748
3059;2292;1279;13768;1453;1144;21345;23386
2782;2123;1237;13612;1387;1100;21017;22602
2559;1941;1177;13093;1302;1038;20584;21694
2385;1818;1095;13154;1178;945;20042;20776
2219;1682;1029;12884;1068;856;19448;20020
