DK1;DK2;EE;FI;LT;LV;NO;SE
1657;1057;595;6829;864;562;9633;9690
1615;1025;584;6786;846;549;9430;9546
1611;1017;573;6724;851;542;9349;9388
1633;1029;570;6801;861;536;9308;9193
1673;1044;643;7556;968;605;9327;9281
1908;1175;743;8193;1115;718;9943;10081
2210;1368;850;8598;1262;845;10692;11564
2427;1527;914;8833;1337;910;11129;12565
2495;1596;930;8933;1356;928;11406;12768
2603;1663;931;8711;1353;932;11449;12891
2609;1688;920;8718;1333;911;11592;12969
2544;1688;940;8686;1343;925;11593;12851
2460;1656;925;8552;1326;919;11534;12842
2389;1608;910;8521;1306;897;11469;12599
2277;1551;880;8443;1270;876;11235;12358
2281;1522;852;8368;1236;848;11076;12209
2365;1541;825;8195;1199;825;11061;12252
2365;1532;797;8069;1174;798;11059;12310
2202;1445;775;8038;1155;779;11003;11972
2062;1359;753;7851;1152;758;10827;11688
2013;1337;755;8023;1126;760;10649;11374
1994;1305;705;7988;1020;699;10574;11009
1847;1217;651;7522;926;632;10236;10365
1680;1136;614;7138;872;577;9815;9825
1581;1075;597;6925;841;555;9528;9642
1549;1032;575;6821;825;540;9324;9471
1525;1011;560;6741;825;532;9236;9387
1521;1009;543;6630;810;508;9104;9204
1486;988;565;6810;838;534;8935;8875
1554;1034;604;7050;907;594;9026;9150
1726;1129;682;7345;1014;679;9571;9899
1935;1274;739;7624;1102;746;10033;10614
2083;1377;770;7816;1146;774;10422;11228
2158;1432;777;7888;1149;775;10710;11467
2139;1455;780;7890;1142;775;10893;11546
2073;1429;782;7892;1136;769;10828;11525
2018;1425;771;7886;1116;769;10727;11392
2036;1405;762;7867;1101;760;10562;11234
2053;1386;755;7849;1097;748;10452;11210
2063;1386;749;7865;1091;745;10475;11242
2187;1433;739;7797;1090;744;10503;11233
2189;1443;727;7759;1082;729;10586;11177
2033;1369;716;7681;1066;720;10555;11014
1960;1298;714;7574;1055;718;10389;10895
1905;1303;712;7841;1053;736;10162;10691
1851;1274;667;7870;970;681;10243;10428
1739;1205;605;7461;875;612;9997;10076
1608;1136;580;7036;825;571;9519;9782
1506;1072;556;6780;797;546;9261;9574
1465;1042;544;6656;779;533;9112;9447
1470;1028;532;6557;771;528;9037;9235
1467;1014;517;6437;751;508;8998;9174
1443;1008;528;6486;777;539;8800;8935
1493;1043;581;6615;851;596;8743;9101
1623;1121;643;6819;949;666;8975;9702
1801;1243;709;7060;1037;732;9352;10200
1955;1353;750;7275;1084;776;9925;10655
2035;1423;759;7485;1092;789;10307;10918
2084;1440;760;7591;1087;777;10454;11206
2083;1455;761;7565;1076;777;10484;11345
2033;1446;754;7569;1063;776;10570;11445
2026;1425;753;7593;1053;766;10567;11456
2031;1414;756;7643;1055;771;10515;11550
2076;1430;757;7701;1062;766;10486;11478
2253;1482;757;7623;1072;769;10493;11694
2261;1506;758;7593;1083;763;10565;11743
2145;1446;750;7626;1073;759;10373;11626
2056;1380;738;7572;1077;759;10412;11361
1998;1369;751;7868;1081;769;10333;11537
1958;1326;699;7834;970;695;10463;11165
1790;1215;629;7400;861;626;9955;10368
1667;1126;578;7092;805;580;9448;9871
1607;1056;561;6924;775;564;9231;9708
1586;1040;550;6854;761;552;9038;9424
1584;1037;540;6809;766;555;8973;9238
1615;1053;540;6882;777;542;9016;9268
1717;1091;628;7567;913;615;9093;9529
1990;1231;747;8243;1073;735;9910;10987
2352;1439;871;8666;1234;875;10919;12766
2590;1579;945;8970;1327;955;11371;13968
2666;1674;963;9082;1351;987;11531;13990
2785;1745;975;9085;1369;993;11897;14765
2813;1771;970;9307;1371;976;11996;14719
2736;1757;995;9197;1388;995;11949;14864
2762;1742;985;9045;1369;988;11859;14371
2429;1716;973;8898;1343;977;11837;14266
2523;1670;949;8768;1315;954;11740;14113
2456;1636;917;8636;1267;909;11510;13606
2565;1671;888;8514;1244;886;11491;13435
2506;1652;860;8455;1221;856;11355;12930
2366;1549;827;8386;1193;843;11397;12729
2246;1447;805;8079;1190;828;11193;12554
2149;1421;804;8290;1161;832;11081;12570
1905;1361;732;8126;1017;749;10894;12050
1961;1234;658;7633;909;665;10361;11120
1818;1150;619;7271;852;608;9645;10510
1739;1086;598;7054;831;582;9395;10297
1691;1049;579;6951;821;576;9237;10157
1689;1029;566;6855;825;575;9246;10020
1717;1057;576;6950;830;565;9176;9986
1802;1090;657;7632;947;644;9186;10160
2072;1237;767;8276;1099;759;9949;11235
2448;1447;879;8723;1235;881;10875;12914
2646;1585;943;9012;1269;951;11461;14182
2711;1670;960;9166;1293;978;11585;14511
2820;1732;970;9139;1345;988;11792;14548
2841;1738;956;9169;1331;963;11832;14590
2795;1742;983;9081;1320;982;11863;14483
2817;1733;971;9013;1334;980;11848;14618
2768;1702;964;8807;1344;964;11766;14431
2625;1650;938;8684;1322;946;11755;14143
2585;1616;910;8636;1281;908;11627;13734
2682;1660;885;8477;1246;883;11422;13647
2548;1621;859;8437;1211;851;11385;14045
2398;1531;829;8407;1190;841;11272;13483
2269;1429;807;8155;1191;828;11065;12425
2194;1426;803;8373;1164;823;11043;12610
2139;1368;725;8205;1030;734;11016;12058
1944;1228;656;7586;931;650;10469;11024
1764;1123;621;7191;883;603;10077;10405
1686;1061;599;7032;850;586;9723;10211
1662;1029;587;6990;837;574;9455;10030
1662;1022;578;6922;838;573;9367;10018
1692;1037;576;6937;851;565;9462;9907
1757;1064;659;7510;960;640;9542;10090
2029;1225;773;8196;1114;752;10180;11176
2392;1434;878;8642;1251;879;11157;12832
2609;1585;947;8859;1324;951;11768;13898
2704;1662;967;8969;1348;976;11943;14429
2798;1707;978;9016;1337;986;12039;14789
2812;1729;970;9041;1300;974;12074;14797
2733;1723;989;9026;1319;996;12064;14716
2755;1729;978;8930;1307;998;12060;14526
2689;1707;971;8859;1334;979;11966;14527
2521;1646;947;8771;1318;955;11828;14262
2479;1615;916;8634;1257;920;11752;13916
2563;1658;888;8477;1189;888;11597;13796
2500;1618;858;8467;1157;858;11443;13721
2375;1531;834;8411;1187;841;11359;13192
2265;1444;819;8186;1198;833;11164;12812
2212;1438;821;8299;1168;819;11134;12639
2141;1375;748;8176;1030;730;11081;12227
1914;1241;675;7582;927;650;10492;11276
1755;1145;634;7230;879;605;10040;10528
1684;1084;608;7069;851;589;9570;10313
1639;1042;602;7043;836;576;9241;10074
1632;1035;591;6946;837;575;9263;10010
1670;1054;585;6967;854;563;9354;10062
1760;1086;664;7687;960;634;9359;10211
2024;1240;773;8270;1117;753;10173;11272
2388;1462;883;8672;1263;876;11011;12609
2614;1604;941;8926;1340;947;11880;13519
2691;1678;967;9086;1358;965;11988;13854
2782;1739;982;9107;1375;968;11989;14314
2783;1763;970;9199;1344;951;11972;14277
2777;1763;997;9064;1331;975;11953;14204
2743;1750;979;8947;1321;978;12053;14104
2741;1714;967;8927;1366;965;11991;14029
2599;1660;936;8818;1342;950;11891;13990
2534;1643;904;8789;1291;912;11847;13569
2608;1688;878;8628;1268;885;11769;13534
2534;1655;850;8579;1231;858;11691;13141
2408;1568;824;8554;1212;846;11564;12810
2289;1477;817;8288;1226;849;11418;12541
2232;1461;815;8474;1174;823;11307;12627
2141;1377;734;8296;1038;731;11404;12185
1951;1241;649;7817;940;658;10811;11129
1804;1146;600;7444;892;614;10005;10658
1741;1092;577;7243;860;589;9776;10290
1712;1053;572;7188;846;576;9546;10124
1709;1045;565;7162;850;575;9541;10139
1758;1066;577;7178;866;568;9471;10106
1837;1096;657;7815;971;637;9508;10101
2051;1225;767;8489;1124;751;10117;11297
2405;1445;870;8922;1264;872;11144;13037
2609;1589;936;9138;1342;948;11685;13949
2646;1680;955;9257;1364;967;11844;14259
2748;1728;959;9294;1375;963;12046;14530
2756;1744;951;9240;1367;932;12101;14818
2655;1726;966;9143;1357;953;12120;14747
2573;1706;952;9109;1349;948;11995;14632
2414;1665;936;9011;1324;935;11882;14330
2328;1617;908;8879;1282;909;11695;13467
2296;1605;881;8769;1278;877;11483;13238
2383;1637;851;8594;1248;850;11229;12963
2338;1605;820;8476;1227;817;11146;12541
2206;1502;797;8376;1214;797;11085;12183
2061;1407;787;8142;1215;795;10898;11799
2003;1401;786;8340;1139;790;10821;11804
1961;1346;714;8215;1015;709;10743;11556
1789;1249;655;7672;927;641;10359;10729
1625;1153;624;7297;885;599;10013;10224
1558;1104;603;7113;862;574;9640;9870
1536;1076;591;7040;847;563;9405;9781
1536;1055;579;6932;841;557;9278;9704
1576;1057;559;6722;832;539;9229;9642
1549;1028;582;6917;858;561;9229;9460
1614;1061;629;7101;929;613;9272;9621
1789;1169;693;7372;1040;688;9540;9947
2003;1306;756;7638;1129;750;10100;10646
2159;1427;783;7811;1167;781;10643;11445
2258;1495;789;7874;1168;788;10907;11755
2251;1498;782;7879;1160;781;10969;11853
2275;1498;782;7857;1153;779;10861;11724
2309;1512;776;7827;1131;767;10812;11572
2283;1488;764;7857;1109;759;10675;11628
2161;1477;758;7927;1094;751;10753;11700
2137;1489;746;7905;1091;746;10767;11841
2198;1533;739;7849;1086;734;10775;11892
2179;1512;729;7831;1077;722;10818;11701
2046;1417;716;7787;1064;720;10832;11416
1896;1337;717;7640;1084;725;10694;11127
1848;1330;726;7965;1072;725;10623;11129
1794;1277;664;7852;968;659;10470;10941
1642;1198;605;7431;885;603;10060;10419
1509;1116;558;7057;836;559;9825;10240
1443;1054;536;6848;809;538;9680;10064
1408;1015;536;6773;792;524;9441;9840
1390;995;537;6679;785;518;9279;9762
1383;982;514;6497;769;488;9116;9571
1371;960;528;6576;785;510;8980;9333
1407;987;569;6696;847;559;8919;9564
1565;1077;642;6923;945;630;9059;10112
1770;1216;701;7201;1036;705;9644;10608
1951;1335;738;7447;1084;747;10096;11209
2036;1408;744;7594;1094;755;10429;11394
2060;1433;743;7722;1093;750;10520;11665
2068;1422;746;7695;1092;747;10485;11754
2086;1399;741;7606;1086;742;10527;11685
2062;1404;740;7549;1077;737;10565;11659
2037;1397;739;7629;1079;735;10528;11744
2123;1411;739;7667;1083;741;10521;11759
2274;1489;726;7669;1090;745;10562;11862
2300;1494;718;7708;1094;738;10540;11908
2193;1440;713;7780;1092;741;10563;11779
2105;1383;729;7695;1129;760;10603;11636
2124;1384;737;8059;1097;748;10675;11737
2028;1288;672;7905;971;671;10496;11213
1857;1179;610;7423;870;603;10121;10721
1764;1119;574;7023;819;554;9670;10432
1738;1070;558;6951;790;537;9246;10297
1703;1062;561;6901;775;531;9301;10349
1684;1076;562;6952;773;532;9310;10471
1717;1092;562;7025;795;535;9359;10503
1826;1134;646;7717;916;605;9525;10768
2100;1307;764;8462;1079;718;10232;11927
2519;1519;896;8782;1231;849;11513;13575
2715;1628;950;9016;1315;929;11933;14448
2800;1676;976;9113;1346;968;12059;14728
2927;1741;989;9235;1355;975;12207;15075
2940;1752;986;9301;1346;945;12130;15058
2955;1748;1008;9222;1362;967;12203;14972
2954;1733;993;9120;1363;973;12305;15094
2901;1702;984;9005;1374;954;12250;14907
2823;1656;950;8882;1338;927;12029;14970
2722;1662;917;8796;1299;905;11996;14586
2791;1744;891;8696;1243;895;11887;14473
2698;1686;865;8633;1237;871;11866;14086
2536;1585;853;8635;1247;859;11708;13946
2366;1477;853;8377;1264;853;11648;13713
2295;1485;814;8422;1154;792;11655;13646
2163;1352;731;8078;1010;698;11525;12639
1964;1229;666;7542;922;629;10764;11823
1776;1130;626;7169;876;589;10321;10721
1726;1081;617;6956;851;565;9882;10406
1701;1068;606;6950;830;557;9729;10275
1706;1068;616;6976;833;560;9685;10355
1752;1073;608;7101;855;559;9783;10366
1846;1135;670;7776;963;621;10164;10429
2109;1281;780;8514;1108;736;10846;11747
2509;1494;890;8894;1240;865;11659;13399
2721;1609;949;9147;1308;941;11932;14415
2778;1688;969;9214;1332;955;11984;14414
2872;1754;972;9094;1334;954;12133;14590
2741;1767;951;9274;1321;923;12170;14729
2594;1760;977;9177;1347;946;12058;14653
2880;1762;961;9067;1342;942;12052;14509
2818;1692;951;8937;1319;917;12150;14640
2643;1665;915;8765;1280;902;12097;14550
2588;1644;891;8667;1242;879;12060;14034
2711;1718;861;8501;1213;858;11799;14065
2594;1658;828;8468;1190;830;11749;13835
2425;1551;812;8423;1176;820;11692;13590
2282;1490;810;8228;1206;825;11627;13227
2269;1478;793;8325;1143;783;11609;13283
2143;1345;709;8074;994;679;11393;12364
1908;1203;641;7552;891;606;10819;11413
1746;1138;607;7220;852;570;10181;10684
1712;1079;584;7078;824;550;9823;10535
1672;1055;567;7053;807;539;9611;10325
1669;1049;563;7011;814;539;9627;10372
1686;1065;565;7017;834;532;9699;10346
1763;1111;648;7819;932;600;10015;10447
2095;1278;757;8467;1087;720;10606;11902
2484;1495;861;8833;1219;841;11752;13732
2686;1613;910;9014;1278;914;12160;14415
2739;1683;932;9149;1289;932;12316;14453
2802;1729;933;9198;1297;930;12418;14569
2858;1724;925;9133;1290;906;12374;14670
2778;1717;954;9154;1314;932;12344;14617
2845;1710;938;8965;1312;922;12239;14626
2727;1688;928;8927;1300;906;12329;14777
2636;1662;902;8971;1278;889;12190;14562
2534;1635;872;8845;1250;855;12173;14189
2689;1697;856;8706;1225;835;12111;14193
2565;1666;835;8787;1196;816;11926;13816
2408;1577;810;8675;1178;805;11974;13606
2264;1478;812;8383;1211;809;11907;13318
2233;1473;790;8431;1138;772;11928;13332
2120;1366;707;8346;987;678;11729;12487
1866;1225;643;7786;897;603;10967;11755
1685;1126;608;7488;851;559;10299;10931
1650;1075;590;7337;822;542;9960;10728
1645;1047;588;7345;813;536;9738;10724
1646;1049;584;7400;823;541;9764;10639
1691;1075;581;7321;857;543;9772;10709
1779;1126;659;8038;962;613;9960;10921
2080;1308;770;8520;1100;729;10738;11964
2448;1506;881;8646;1241;862;11787;13579
2632;1635;928;8756;1316;927;12353;14607
2654;1706;948;8894;1328;943;12508;14713
2744;1744;947;9037;1339;935;12704;14982
2753;1752;946;9023;1327;908;12704;15065
2760;1753;971;8954;1328;935;12596;14937
2775;1736;957;8906;1286;930;12508;14895
2729;1715;947;8919;1246;922;12375;14811
2582;1683;927;8806;1205;898;12337;14726
2502;1677;898;8772;1170;873;12270;14359
2578;1701;869;8721;1141;858;12172;14334
2468;1676;843;8787;1120;834;12121;14163
2345;1568;835;8753;1107;821;12000;13891
2192;1469;840;8477;1136;822;11896;13768
2182;1462;789;8466;1074;776;11883;13682
2076;1344;703;8302;960;684;11704;12788
1838;1211;640;7860;870;608;11085;11758
1685;1123;613;7524;824;565;10435;10971
1623;1060;590;7362;796;550;10104;10660
1583;1032;585;7356;779;539;9955;10602
1588;1035;581;7408;774;540;9884;10676
1640;1048;577;7444;774;542;9881;10672
1760;1099;656;8081;787;610;9937;10869
2028;1268;767;8683;865;721;10660;12088
2398;1483;868;8724;963;841;11805;13932
2595;1597;919;9034;1041;905;12439;14615
2636;1662;934;9076;1077;927;12514;14998
2725;1708;933;9142;1079;924;12600;15028
2699;1713;923;9226;1072;900;12455;14998
2606;1694;946;9130;1062;922;12338;14655
2510;1668;935;9005;1056;911;12217;14389
2407;1618;914;8909;1047;892;12069;14045
2314;1580;888;8813;1038;866;12011;13756
2308;1581;860;8686;1030;840;11889;13335
2425;1633;832;8590;1024;820;11810;13364
2351;1598;809;8602;1017;796;11808;13034
2175;1479;793;8519;1008;778;11738;12805
2025;1396;795;8331;1053;795;11662;12488
2020;1391;776;8498;1012;760;11617;12320
1919;1310;700;8232;910;678;11429;11742
1734;1212;641;7816;830;608;10940;11029
1589;1126;605;7496;786;563;10447;10557
1550;1061;592;7277;761;545;10035;10184
1498;1029;578;7169;751;533;9867;9980
1503;1008;573;7165;749;529;9797;9857
1496;1012;551;7047;748;506;9722;9729
1557;1001;566;7193;769;524;9672;9609
1608;933;615;7436;842;586;9801;9861
1755;1131;688;7701;940;668;10371;10481
1941;1263;749;7955;1020;741;10705;11231
2062;1362;777;8131;1062;774;11222;11866
2159;1429;786;8192;1073;777;11509;12293
2165;1462;791;8094;1076;764;11578;12325
2168;1429;795;7970;1062;759;11438;12294
2128;1420;787;7981;1045;747;11317;11968
2111;1384;776;7951;1034;738;11180;11805
2098;1380;763;7963;1030;729;11145;11843
2111;1396;759;8025;1023;726;11167;11893
2214;1471;748;8051;1027;723;11256;12041
2152;1462;703;8112;1025;711;11351;12060
2001;1425;659;8061;1020;712;11340;11952
1925;1381;676;7999;1062;739;11220;11751
1919;1366;672;8216;995;710;11254;11702
1801;1279;611;8097;895;635;11015;11396
1691;1180;716;7646;812;577;10661;10923
1579;1111;716;7254;766;548;10280;10582
1537;1047;688;7055;742;529;10112;10369
1563;1016;670;6928;729;517;9938;10215
1534;1000;676;6941;725;511;9879;10270
1542;997;676;6752;727;498;9830;10120
1541;994;717;6820;734;506;9817;9912
1574;1001;711;6989;796;553;9755;9956
1733;1112;813;7183;890;622;9915;10413
1926;1243;691;7418;968;693;10370;10989
2049;1353;725;7573;1010;731;10871;11655
2124;1438;738;7790;1020;739;11351;12270
2205;1485;745;7876;1021;736;11412;12634
2186;1505;741;7787;1019;732;11391;12750
2160;1508;729;7807;1020;725;11250;12496
2125;1505;719;7872;1011;717;11258;12669
2084;1495;717;7848;1012;709;11271;12777
2143;1513;723;7871;1017;707;11189;12702
2351;1628;729;7843;1029;706;11282;12964
2382;1612;733;8010;1038;707;11301;12832
2207;1571;737;8019;1057;715;11375;12648
2090;1519;754;8031;1101;748;11447;12645
2069;1439;723;8235;1018;706;11598;12624
1945;1317;649;8046;890;626;11437;11937
1824;1206;586;7555;799;562;10830;11368
1716;1115;547;7252;747;523;10230;10864
1681;1068;538;7135;719;507;9984;10513
1653;1027;533;7129;709;498;9819;10332
1665;1030;535;7165;712;503;9794;10273
1712;1051;543;7304;747;511;9900;10291
1819;1130;626;8047;863;574;10235;10597
2133;1317;747;8798;1011;696;11068;12084
2521;1516;866;9152;1152;810;12513;13889
2721;1629;921;9327;1222;875;12806;14334
2825;1698;936;9394;1238;900;12772;14231
2868;1744;939;9386;1243;904;12763;14739
2833;1742;928;9395;1231;885;12671;14837
2745;1740;949;9319;1260;911;12580;14796
2775;1747;942;9222;1267;910;12642;14795
2756;1719;938;9089;1266;891;12603;14709
2620;1688;909;9002;1242;882;12500;14810
2616;1664;888;8879;1205;850;12351;14417
2747;1740;872;8690;1189;848;12267;14398
2659;1705;845;8734;1177;829;12129;14059
2547;1607;830;8736;1178;830;12161;13866
2420;1535;838;8530;1193;829;12190;13610
2374;1521;789;8377;1074;764;12265;13336
2174;1385;696;8007;930;673;11849;12197
2028;1245;627;7561;842;598;11039;11116
1880;1153;604;7266;801;549;10479;10551
1819;1085;586;7040;776;537;10204;10310
1794;1070;567;7003;758;527;9989;10129
1804;1057;557;7013;766;523;10029;10123
1864;1083;560;7161;792;533;10120;10205
1977;1144;631;7839;891;600;10344;10562
2225;1309;739;8463;1041;717;11208;11730
2587;1539;857;8864;1175;841;12450;13250
2750;1645;916;9053;1234;895;12786;13998
2790;1693;927;9137;1248;912;12601;14222
2867;1734;926;9170;1249;914;12630;14625
2889;1735;910;9206;1233;885;12637;14727
2821;1700;926;9144;1252;914;12576;14636
2813;1710;913;9062;1246;905;12415;14685
2792;1695;897;8870;1245;890;12359;14682
2692;1630;864;8781;1219;877;12311;14650
2644;1641;832;8709;1187;848;12419;14088
2655;1710;809;8601;1164;845;12255;14151
2556;1675;781;8682;1150;821;12214;14015
2369;1563;765;8670;1146;817;12119;13725
2254;1501;786;8511;1195;839;12141;13670
2211;1496;750;8534;1089;775;12409;13707
2083;1374;673;8155;936;673;11766;12689
1907;1223;612;7652;841;602;11024;11764
1805;1132;589;7341;799;560;10618;11112
1750;1099;573;7118;773;542;10180;10775
1705;1061;564;7091;758;538;10047;10615
1719;1068;541;7196;761;539;10000;10602
1775;1092;542;7319;794;550;10115;10584
1914;1154;567;8069;902;617;10505;10928
2211;1328;632;8730;1057;729;11212;12092
2553;1550;719;9055;1190;846;12650;13758
2695;1657;771;9221;1247;900;12863;14451
2752;1701;795;9292;1257;926;12860;14698
2867;1736;804;9336;1256;928;12693;14831
2864;1721;801;9264;1240;904;12641;14691
2799;1714;808;9204;1255;915;12558;14695
2834;1710;805;9169;1254;907;12464;14413
2762;1672;795;9085;1237;893;12394;14396
2655;1638;787;8935;1204;875;12334;14372
2593;1653;774;8908;1183;844;12250;13970
2702;1710;766;8858;1174;832;12226;14022
2613;1660;752;8998;1164;817;12221;13557
2433;1573;759;9029;1169;807;12040;13490
2294;1500;790;8808;1209;829;12103;13402
2273;1496;741;8691;1092;768;12291;13298
2088;1354;668;8321;943;671;11912;12375
1873;1207;614;7819;847;603;11038;11252
1774;1121;586;7419;772;558;10461;10850
1681;1072;564;7229;772;540;10162;10642
1662;1042;556;7236;751;535;10127;10556
1667;1046;559;7331;791;543;10058;10589
1696;1061;568;7448;820;550;10097;10798
1796;1134;627;7985;927;610;10351;11022
2124;1288;757;8688;1085;717;11247;12297
2485;1509;870;9089;1217;835;12518;14050
2666;1618;918;9262;1287;892;13036;14850
2712;1693;931;9289;1305;905;12911;14707
2763;1731;938;9270;1311;912;12879;14963
2785;1713;927;9289;1302;883;12746;14946
2764;1703;942;9161;1321;916;12741;14934
2810;1680;940;9113;1317;909;12623;14864
2796;1670;920;9058;1299;896;12605;14789
2624;1655;901;8999;1276;875;12474;14518
2584;1611;872;8879;1237;847;12438;14231
2643;1679;852;8715;1219;847;12187;14316
2556;1675;829;8736;1203;834;12320;14129
2392;1560;827;8798;1208;823;12284;14022
2289;1505;845;8710;1235;839;12243;14051
2279;1524;803;8702;1114;773;12332;14006
2086;1411;705;8258;972;684;11914;12720
1891;1280;640;7825;882;608;11208;11489
1743;1178;603;7484;820;572;10681;10926
1683;1106;582;7326;783;553;10312;10663
1669;1083;564;7298;767;545;10163;10577
1673;1083;572;7392;767;550;10116;10544
1714;1120;578;7514;805;561;10221;10725
1815;1184;671;8165;917;629;10479;11144
2127;1322;773;8834;1064;734;11246;12403
2520;1529;882;9200;1201;844;12687;14261
2676;1605;929;9187;1217;901;13181;15055
2745;1685;939;9233;1263;913;13139;14884
2824;1727;943;9340;1264;910;12972;14943
2811;1737;932;9322;1254;882;12734;14856
2704;1698;962;9272;1269;905;12587;14501
2641;1663;953;9159;1251;901;12457;14106
2529;1634;934;9111;1223;882;12325;13793
2442;1599;900;8946;1190;862;12244;13512
2403;1591;867;8877;1173;837;12184;13256
2537;1652;840;8817;1157;820;12175;13376
2441;1673;820;8804;1141;806;12093;13256
2234;1551;809;8802;1147;811;12077;13023
2093;1484;835;8705;1188;836;12001;12940
2077;1431;784;8743;1075;772;12060;12734
1945;1312;701;8394;944;681;11647;11996
1789;1207;643;7862;858;616;11124;11201
1647;1114;614;7504;807;579;10713;10794
1562;1062;593;7339;777;560;10344;10618
1535;1038;578;7292;760;549;10191;10415
1526;1029;579;7245;757;546;10109;10345
1553;1028;573;7234;768;539;10075;10412
1556;1027;583;7299;786;552;10091;10369
1612;1039;631;7498;865;607;10196;10321
1755;1159;702;7854;971;693;10531;10767
1950;1295;756;8127;1055;754;11137;11610
2093;1402;777;8268;1089;781;11676;12400
2166;1458;783;8283;1096;777;12003;12839
2146;1475;788;8370;1090;768;11901;12751
2095;1440;785;8316;1088;764;11795;12550
2060;1417;778;8262;1069;756;11645;12563
2049;1393;775;8222;1050;741;11468;12214
2031;1380;776;8368;1044;732;11354;12140
2025;1388;771;8517;1048;734;11412;12386
2211;1463;756;8545;1049;727;11588;12357
2123;1473;762;8584;1040;724;11662;12400
1979;1397;761;8540;1049;741;11769;12200
1891;1360;780;8571;1092;769;11449;12237
1872;1353;735;8619;1010;715;11500;11976
1751;1261;735;8391;906;646;11245;11417
1646;1166;625;7947;825;588;10879;10883
1522;1097;597;7546;779;553;10281;10544
1456;1040;576;7325;754;538;10055;10338
1442;1000;562;7215;738;531;10015;10197
1435;984;554;7280;734;525;9943;10162
1473;980;543;7217;739;516;9988;10175
1500;979;539;7117;745;518;9950;10117
1544;994;582;7246;806;565;9959;10170
1708;1097;655;7456;907;636;10187;10630
1893;1239;722;7780;996;704;10658;11342
2069;1346;755;7915;1039;739;11166;11891
2148;1407;770;8143;1038;742;11428;12419
2196;1428;772;8162;1040;734;11444;12468
2283;1438;761;8150;1046;732;11413;12628
2240;1426;755;8099;1049;728;11383;12473
2244;1431;761;8140;1043;723;11386;12416
2268;1413;755;8134;1045;721;11425;12379
2257;1463;753;8115;1050;734;11443;12514
2376;1542;747;8207;1067;744;11631;12811
2327;1553;759;8358;1080;754;11496;12865
2160;1478;775;8353;1111;782;11512;12757
2071;1444;806;8433;1123;805;11653;12790
2044;1414;758;8624;1002;734;11887;12744
1900;1281;694;8339;873;639;11662;11965
1744;1148;627;7872;793;579;11043;11390
1647;1068;594;7577;747;538;10456;11232
1592;1010;564;7430;728;518;10209;11011
1622;986;556;7378;718;512;10097;10974
1628;991;567;7385;723;520;10109;11040
1627;1023;578;7663;769;536;10269;11207
1766;1120;661;8291;901;606;10567;11582
2131;1287;784;8969;1053;728;11531;13213
2466;1515;910;9335;1186;846;12817;14961
2655;1654;964;9429;1252;923;13090;15440
2687;1718;970;9395;1266;949;13007;15377
2815;1748;979;9456;1256;953;13044;15638
2834;1738;973;9490;1234;912;12865;15689
2714;1725;1000;9398;1252;938;12719;15371
2764;1730;992;9281;1229;928;12706;15308
2713;1694;985;9189;1212;906;12648;15101
2540;1634;965;9097;1189;885;12579;15209
2509;1607;940;9078;1158;845;12539;14903
2643;1690;924;9042;1143;823;12358;15046
2532;1668;901;9080;1129;811;12138;14806
2347;1565;893;9062;1153;817;12132;14888
2252;1515;900;8904;1201;849;12210;14938
2244;1495;818;8729;1063;763;12387;14523
2053;1342;710;8401;921;661;11866;13073
1859;1189;648;7870;833;592;11213;12071
1707;1111;611;7500;786;549;10709;11265
1648;1058;587;7364;759;533;10405;10913
1633;1025;568;7278;751;523;10258;10830
1644;1036;573;7288;757;527;10236;10794
1688;1049;603;7486;801;546;10244;10845
1848;1128;670;8078;917;612;10479;11318
2180;1311;795;8666;1073;728;11389;13094
2549;1536;912;8987;1206;852;12853;14646
2729;1654;960;9158;1260;852;13129;15538
2766;1689;975;9219;1273;923;13094;15443
2734;1710;978;9244;1270;919;13037;15409
2728;1699;962;9244;1255;892;12787;15366
2722;1695;985;9130;1270;910;12687;15544
2725;1714;985;9021;1253;906;12621;15242
2676;1699;976;9008;1241;892;12654;15181
2615;1653;950;8890;1213;870;12443;14958
2600;1617;917;8847;1181;843;12338;14799
2681;1678;900;8823;1170;835;12159;14648
2590;1648;877;8962;1155;823;12070;14198
2456;1572;871;9015;1183;829;12244;14169
2354;1541;885;8909;1225;858;12354;14340
2350;1504;817;8628;1093;775;12523;13937
2133;1358;722;8243;943;678;11979;12334
1900;1192;652;7672;847;603;11201;11156
1738;1086;620;7366;802;565;10723;10679
1656;1036;602;7190;775;548;10269;10455
1634;1010;592;7108;765;538;10119;10322
1634;1020;596;7179;765;545;10125;10318
1674;1038;618;7447;808;562;10266;10580
1859;1116;684;8029;922;619;10461;11015
2197;1292;802;8663;1069;724;11294;12567
2571;1515;916;9094;1204;854;12732;14490
2790;1622;972;9243;1267;925;13076;15237
2827;1691;989;9283;1286;951;13068;15308
2882;1736;986;9288;1277;949;12899;15341
2869;1726;974;9287;1259;917;12733;15294
2779;1714;988;9235;1271;936;12670;15001
2778;1703;977;9141;1256;924;12847;14898
2603;1694;962;8998;1237;907;12846;14799
2454;1658;925;8880;1211;883;12678;14501
2534;1635;898;8784;1179;856;12500;14339
2668;1682;880;8671;1172;853;12328;14143
2564;1643;853;8833;1166;851;12374;14224
2424;1557;853;8952;1193;864;12453;14180
2362;1518;877;8812;1217;869;12424;13841
2347;1491;812;8572;1077;786;12525;13674
2140;1354;721;8158;930;676;12063;12576
