hour;dk1;dk2;ee;fi;lt;lv;no;se
15 - 16;0.729736842;0.748;0.24;0.235808901;0.526666667;0.4;0.618522841;0.377831682
16 - 17;0.724210526;0.753;0.223333333;0.202477164;0.52;0.4;0.62156535;0.387485522
17 - 18;0.715789474;0.835;0.316666667;0.188514832;0.52;0.4;0.647327021;0.391191589
18 - 19;0.711578947;0.882;0.403333333;0.153491172;0.48;0.39;0.666060197;0.404601643
19 - 20;0.723157895;0.906;0.503333333;0.117705665;0.503333333;0.37;0.682312304;0.417779017
20 - 21;0.726578947;0.923;0.533333333;0.11874687;0.533333333;0.34;0.68552919;0.407008621
21 - 22;0.705263158;0.926;0.493333333;0.124165616;0.546666667;0.39;0.674037058;0.390848015
22 - 23;0.688421053;0.862;0.413333333;0.151176101;0.543333333;0.37;0.64528697;0.385439857
23 - 00;0.668421053;0.764;0.383333333;0.167086732;0.5;0.37;0.607603342;0.390388972
00 - 01;0.683947368;0.674;0.38;0.158007969;0.44;0.39;0.577101896;0.373358319
01 - 02;0.697894737;0.677;0.413333333;0.151473772;0.386666667;0.36;0.57164214;0.340031682
02 - 03;0.692105263;0.686;0.366666667;0.162218663;0.416666667;0.33;0.569715096;0.331040024
03 - 04;0.689210526;0.723;0.376666667;0.175537033;0.453333333;0.36;0.584088958;0.340056349
04 - 05;0.672894737;0.663;0.376666667;0.118906974;0.52;0.38;0.553129895;0.323494947
05 - 06;0.653684211;0.644;0.366666667;0.113810687;0.503333333;0.41;0.538603225;0.318125464
06 - 07;0.631052632;0.624;0.356666667;0.112550393;0.436666667;0.4;0.52422818;0.31763191
07 - 08;0.616842105;0.6;0.386666667;0.104022721;0.373333333;0.39;0.516754189;0.333420463
08 - 09;0.615789474;0.586;0.426666667;0.097999013;0.39;0.39;0.510146338;0.328649541
09 - 10;0.600789474;0.552;0.376666667;0.083499486;0.4;0.36;0.492332309;0.324207454
10 - 11;0.586842105;0.572;0.346666667;0.096640405;0.383333333;0.38;0.493117423;0.320510165
11 - 12;0.588947368;0.586;0.323333333;0.117828644;0.336666667;0.36;0.498074376;0.319275758
12 - 13;0.602368421;0.664;0.406666667;0.102086148;0.29;0.37;0.527417606;0.315884396
13 - 14;0.646842105;0.692;0.433333333;0.103443472;0.216666667;0.31;0.547317216;0.303109544
14 - 15;0.650263158;0.632;0.33;0.112323776;0.173333333;0.24;0.527439996;0.300056831
15 - 16;0.624736842;0.604;0.276666667;0.126250627;0.156666667;0.19;0.510678853;0.303299718
16 - 17;0.621315789;0.647;0.246666667;0.128234744;0.16;0.19;0.526208522;0.310309777
17 - 18;0.642368421;0.75;0.236666667;0.124242229;0.16;0.18;0.569991124;0.31760495
18 - 19;0.634473684;0.797;0.236666667;0.105570175;0.216666667;0.15;0.585924003;0.326298326
19 - 20;0.636052632;0.757;0.23;0.092396807;0.316666667;0.18;0.578813154;0.34338683
20 - 21;0.632894737;0.71;0.206666667;0.083341166;0.4;0.17;0.563129527;0.346493846
21 - 22;0.607894737;0.672;0.193333333;0.076606375;0.49;0.2;0.537755541;0.333371885
22 - 23;0.575263158;0.62;0.203333333;0.05989398;0.6;0.26;0.512584935;0.342491647
23 - 00;0.502631579;0.564;0.19;0.046844439;0.586666667;0.32;0.468932412;0.340165659
00 - 01;0.417105263;0.388;0.19;0.036370002;0.636666667;0.31;0.37659923;0.324692426
01 - 02;0.368157895;0.308;0.236666667;0.028216777;0.673333333;0.33;0.328834486;0.310345564
02 - 03;0.333947368;0.369;0.303333333;0.033413054;0.606666667;0.35;0.33211129;0.293386503
03 - 04;0.255526316;0.446;0.346666667;0.038348965;0.566666667;0.3;0.327819786;0.281933044
04 - 05;0.191052632;0.397;0.293333333;0.045485277;0.573333333;0.29;0.284503541;0.265457991
05 - 06;0.188684211;0.29;0.263333333;0.05416627;0.543333333;0.25;0.244710995;0.255448774
06 - 07;0.192105263;0.298;0.243333333;0.06829051;0.55;0.25;0.238121849;0.224260283
07 - 08;0.298947368;0.257;0.196666667;0.071364028;0.55;0.26;0.248394111;0.189234964
08 - 09;0.351052632;0.344;0.193333333;0.089755971;0.503333333;0.22;0.289320971;0.172910281
09 - 10;0.382368421;0.626;0.16;0.128129835;0.4;0.17;0.389282574;0.1594793
10 - 11;0.476842105;0.751;0.143333333;0.161087124;0.38;0.18;0.460334392;0.153161071
11 - 12;0.571315789;0.825;0.11;0.18351644;0.336666667;0.18;0.520404378;0.164897343
12 - 13;0.615789474;0.888;0.106666667;0.193081853;0.25;0.17;0.560544061;0.177842709
