hour;dk1;dk2;ee;fi;lt;lv;no;se
08 - 09;0;0;2.33333E-05;2.33333E-05;2.33333E-05;2.33333E-05;2.33333E-05;0.00007
09 - 10;0.005;0.01;0.00503058;0.00503058;0.00503058;0.00503058;0.00503058;0.00009174
10 - 11;0.01;0.015;0.008440997;0.008440997;0.008440997;0.008440997;0.008440997;0.00032299
11 - 12;0.025;0.02;0.015186893;0.015186893;0.015186893;0.015186893;0.015186893;0.00056068
12 - 13;0.05;0.025;0.025214337;0.025214337;0.025214337;0.025214337;0.025214337;0.00064301
13 - 14;0.07;0.025;0.031777607;0.031777607;0.031777607;0.031777607;0.031777607;0.00033282
14 - 15;0.075;0.02;0.03169957;0.03169957;0.03169957;0.03169957;0.03169957;0.00009871
15 - 16;0.025;0.01;0.011692667;0.011692667;0.011692667;0.011692667;0.011692667;0.000078
16 - 17;0;0;2.33333E-05;2.33333E-05;2.33333E-05;2.33333E-05;2.33333E-05;0.00007
17 - 18;0;0;2.90667E-05;2.90667E-05;2.90667E-05;2.90667E-05;2.90667E-05;0.0000872
18 - 19;0;0;2.36667E-05;2.36667E-05;2.36667E-05;2.36667E-05;2.36667E-05;0.000071
19 - 20;0;0;0.0000237;0.0000237;0.0000237;0.0000237;0.0000237;0.0000711
20 - 21;0;0;2.03333E-05;2.03333E-05;2.03333E-05;2.03333E-05;2.03333E-05;0.000061
21 - 22;0;0;0.000023;0.000023;0.000023;0.000023;0.000023;0.000069
22 - 23;0;0;2.56667E-05;2.56667E-05;2.56667E-05;2.56667E-05;2.56667E-05;0.000077
23 - 00;0;0;0.000025;0.000025;0.000025;0.000025;0.000025;0.000075
00 - 01;0;0;1.83667E-05;1.83667E-05;1.83667E-05;1.83667E-05;1.83667E-05;0.0000551
01 - 02;0;0;1.93333E-05;1.93333E-05;1.93333E-05;1.93333E-05;1.93333E-05;0.000058
02 - 03;0;0;1.80333E-05;1.80333E-05;1.80333E-05;1.80333E-05;1.80333E-05;0.0000541
03 - 04;0;0;0.000016;0.000016;0.000016;0.000016;0.000016;0.000048
04 - 05;0;0;1.76667E-05;1.76667E-05;1.76667E-05;1.76667E-05;1.76667E-05;0.000053
05 - 06;0;0;0.000017;0.000017;0.000017;0.000017;0.000017;0.000051
06 - 07;0;0;2.96667E-05;2.96667E-05;2.96667E-05;2.96667E-05;2.96667E-05;0.000089
07 - 08;0;0;0.000044;0.000044;0.000044;0.000044;0.000044;0.000132
08 - 09;0;0;3.57467E-05;3.57467E-05;3.57467E-05;3.57467E-05;3.57467E-05;0.00010724
09 - 10;0;0.01;0.003445407;0.003445407;0.003445407;0.003445407;0.003445407;0.00033622
10 - 11;0.005;0.045;0.01711553;0.01711553;0.01711553;0.01711553;0.01711553;0.00134659
11 - 12;0.015;0.03;0.015593273;0.015593273;0.015593273;0.015593273;0.015593273;0.00177982
12 - 13;0.035;0.015;0.017275443;0.017275443;0.017275443;0.017275443;0.017275443;0.00182633
13 - 14;0.0375;0.015;0.017732357;0.017732357;0.017732357;0.017732357;0.017732357;0.00069707
14 - 15;0.0175;0.005;0.007583307;0.007583307;0.007583307;0.007583307;0.007583307;0.00024992
15 - 16;0.0025;0;0.000885383;0.000885383;0.000885383;0.000885383;0.000885383;0.00015615
16 - 17;0;0;4.00667E-05;4.00667E-05;4.00667E-05;4.00667E-05;4.00667E-05;0.0001202
17 - 18;0;0;0.000037;0.000037;0.000037;0.000037;0.000037;0.000111
18 - 19;0;0;3.43333E-05;3.43333E-05;3.43333E-05;3.43333E-05;3.43333E-05;0.000103
19 - 20;0;0;0.000028;0.000028;0.000028;0.000028;0.000028;0.000084
20 - 21;0;0;0.000026;0.000026;0.000026;0.000026;0.000026;0.000078
21 - 22;0;0;2.13333E-05;2.13333E-05;2.13333E-05;2.13333E-05;2.13333E-05;0.000064
22 - 23;0;0;0.000039;0.000039;0.000039;0.000039;0.000039;0.000117
23 - 00;0;0;0.000037;0.000037;0.000037;0.000037;0.000037;0.000111
00 - 01;0;0;0.00002067;0.00002067;0.00002067;0.00002067;0.00002067;0.00006201
01 - 02;0;0;3.23333E-05;3.23333E-05;3.23333E-05;3.23333E-05;3.23333E-05;0.000097
02 - 03;0;0;0.000018;0.000018;0.000018;0.000018;0.000018;0.000054
03 - 04;0;0;0.000022;0.000022;0.000022;0.000022;0.000022;0.000066
04 - 05;0;0;2.33333E-05;2.33333E-05;2.33333E-05;2.33333E-05;2.33333E-05;0.00007
05 - 06;0;0;0.000022;0.000022;0.000022;0.000022;0.000022;0.000066
06 - 07;0;0;3.73333E-05;3.73333E-05;3.73333E-05;3.73333E-05;3.73333E-05;0.000112
07 - 08;0;0;0.000033;0.000033;0.000033;0.000033;0.000033;0.000099
08 - 09;0;0;0.000043;0.000043;0.000043;0.000043;0.000043;0.000129
09 - 10;0.0075;0.015;0.007617437;0.007617437;0.007617437;0.007617437;0.007617437;0.00035231
10 - 11;0.03;0.045;0.025128473;0.025128473;0.025128473;0.025128473;0.025128473;0.00038542
11 - 12;0.0425;0.05;0.031086713;0.031086713;0.031086713;0.031086713;0.031086713;0.00076014
12 - 13;0.035;0.06;0.03204792;0.03204792;0.03204792;0.03204792;0.03204792;0.00114376
13 - 14;0.025;0.035;0.020230093;0.020230093;0.020230093;0.020230093;0.020230093;0.00069028
14 - 15;0.01;0.015;0.00844123;0.00844123;0.00844123;0.00844123;0.00844123;0.00032369
15 - 16;0.0025;0.005;0.002528013;0.002528013;0.002528013;0.002528013;0.002528013;0.00008404
16 - 17;0;0;1.23333E-05;1.23333E-05;1.23333E-05;1.23333E-05;1.23333E-05;0.000037
17 - 18;0;0;1.23333E-05;1.23333E-05;1.23333E-05;1.23333E-05;1.23333E-05;0.000037
18 - 19;0;0;2.06667E-05;2.06667E-05;2.06667E-05;2.06667E-05;2.06667E-05;0.000062
19 - 20;0;0;0.0000327;0.0000327;0.0000327;0.0000327;0.0000327;0.0000981
20 - 21;0;0;2.83667E-05;2.83667E-05;2.83667E-05;2.83667E-05;2.83667E-05;0.0000851
21 - 22;0;0;0.000023;0.000023;0.000023;0.000023;0.000023;0.000069
22 - 23;0;0;0.000029;0.000029;0.000029;0.000029;0.000029;0.000087
23 - 00;0;0;0.000024;0.000024;0.000024;0.000024;0.000024;0.000072
00 - 01;0;0;2.46667E-05;2.46667E-05;2.46667E-05;2.46667E-05;2.46667E-05;0.000074
01 - 02;0;0;0.000018;0.000018;0.000018;0.000018;0.000018;0.000054
02 - 03;0;0;0.00001739;0.00001739;0.00001739;0.00001739;0.00001739;0.00005217
03 - 04;0;0;0.000023;0.000023;0.000023;0.000023;0.000023;0.000069
04 - 05;0;0;2.03333E-05;2.03333E-05;2.03333E-05;2.03333E-05;2.03333E-05;0.000061
05 - 06;0;0;0.0000117;0.0000117;0.0000117;0.0000117;0.0000117;0.0000351
06 - 07;0;0;1.96667E-05;1.96667E-05;1.96667E-05;1.96667E-05;1.96667E-05;0.000059
07 - 08;0;0;2.63333E-05;2.63333E-05;2.63333E-05;2.63333E-05;2.63333E-05;0.000079
08 - 09;0;0;2.56333E-05;2.56333E-05;2.56333E-05;2.56333E-05;2.56333E-05;0.0000769
09 - 10;0.005;0.005;0.003453;0.003453;0.003453;0.003453;0.003453;0.000359
10 - 11;0.025;0.02;0.01531438;0.01531438;0.01531438;0.01531438;0.01531438;0.00094314
11 - 12;0.0475;0.04;0.0296037;0.0296037;0.0296037;0.0296037;0.0296037;0.0013111
12 - 13;0.0575;0.06;0.039468603;0.039468603;0.039468603;0.039468603;0.039468603;0.00090581
13 - 14;0.0525;0.045;0.032717097;0.032717097;0.032717097;0.032717097;0.032717097;0.00065129
14 - 15;0.0225;0.03;0.017621713;0.017621713;0.017621713;0.017621713;0.017621713;0.00036514
15 - 16;0.005;0.01;0.005035703;0.005035703;0.005035703;0.005035703;0.005035703;0.00010711
16 - 17;0;0;0.000024;0.000024;0.000024;0.000024;0.000024;0.000072
17 - 18;0;0;1.83333E-05;1.83333E-05;1.83333E-05;1.83333E-05;1.83333E-05;0.000055
18 - 19;0;0;1.93333E-05;1.93333E-05;1.93333E-05;1.93333E-05;1.93333E-05;0.000058
19 - 20;0;0;2.40333E-05;2.40333E-05;2.40333E-05;2.40333E-05;2.40333E-05;0.0000721
20 - 21;0;0;1.66667E-05;1.66667E-05;1.66667E-05;1.66667E-05;1.66667E-05;0.00005
21 - 22;0;0;0.00002;0.00002;0.00002;0.00002;0.00002;0.00006
22 - 23;0;0;2.36667E-05;2.36667E-05;2.36667E-05;2.36667E-05;2.36667E-05;0.000071
23 - 00;0;0;0.000033;0.000033;0.000033;0.000033;0.000033;0.000099
00 - 01;0;0;2.76667E-05;2.76667E-05;2.76667E-05;2.76667E-05;2.76667E-05;0.000083
01 - 02;0;0;1.96667E-05;1.96667E-05;1.96667E-05;1.96667E-05;1.96667E-05;0.000059
02 - 03;0;0;0.000017;0.000017;0.000017;0.000017;0.000017;0.000051
03 - 04;0;0;0.000012;0.000012;0.000012;0.000012;0.000012;0.000036
04 - 05;0;0;0.000014;0.000014;0.000014;0.000014;0.000014;0.000042
05 - 06;0;0;1.73333E-05;1.73333E-05;1.73333E-05;1.73333E-05;1.73333E-05;0.000052
06 - 07;0;0;3.27667E-05;3.27667E-05;3.27667E-05;3.27667E-05;3.27667E-05;0.0000983
07 - 08;0;0;3.73333E-05;3.73333E-05;3.73333E-05;3.73333E-05;3.73333E-05;0.000112
08 - 09;0;0;3.76667E-05;3.76667E-05;3.76667E-05;3.76667E-05;3.76667E-05;0.000113
09 - 10;0;0;0.00005106;0.00005106;0.00005106;0.00005106;0.00005106;0.00015318
10 - 11;0.0025;0.005;0.002568477;0.002568477;0.002568477;0.002568477;0.002568477;0.00020543
11 - 12;0.0025;0.005;0.002606657;0.002606657;0.002606657;0.002606657;0.002606657;0.00031997
12 - 13;0.0075;0.01;0.005931643;0.005931643;0.005931643;0.005931643;0.005931643;0.00029493
13 - 14;0.0125;0.005;0.005881767;0.005881767;0.005881767;0.005881767;0.005881767;0.0001453
14 - 15;0.0125;0.005;0.005859003;0.005859003;0.005859003;0.005859003;0.005859003;0.00007701
15 - 16;0.005;0.005;0.003352;0.003352;0.003352;0.003352;0.003352;0.000056
16 - 17;0;0;0.000015;0.000015;0.000015;0.000015;0.000015;0.000045
17 - 18;0;0;2.33333E-05;2.33333E-05;2.33333E-05;2.33333E-05;2.33333E-05;0.00007
18 - 19;0;0;0.00002;0.00002;0.00002;0.00002;0.00002;0.00006
19 - 20;0;0;1.63333E-05;1.63333E-05;1.63333E-05;1.63333E-05;1.63333E-05;0.000049
20 - 21;0;0;1.66667E-05;1.66667E-05;1.66667E-05;1.66667E-05;1.66667E-05;0.00005
21 - 22;0;0;1.63667E-05;1.63667E-05;1.63667E-05;1.63667E-05;1.63667E-05;0.0000491
22 - 23;0;0;1.73333E-05;1.73333E-05;1.73333E-05;1.73333E-05;1.73333E-05;0.000052
